id	booktitle	filmtitle	winner	goodreads	imdb	metacritic	stevecount	crewcount
tt0386117	Where the Wild Things Are	Where the Wild Things Are	book	4.24	6.7	71	25	1299
tt0330373	Harry Potter and the Goblet of Fire (Harry Potter, #4)	Harry Potter and the Goblet of Fire	book	4.57	7.7	81	45	1938
tt0304141	Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	Harry Potter and the Prisoner of Azkaban	book	4.58	7.9	82	45	1547
tt0295297	Harry Potter and the Chamber of Secrets (Harry Potter, #2)	Harry Potter and the Chamber of Secrets	book	4.43	7.4	63	42	1356
tt0241527	Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	Harry Potter and the Sorcerer's Stone	book	4.47	7.6	65	40	1537
tt1659337	The Perks of Being a Wallflower	The Perks of Being a Wallflower	book	4.23	7.9	67	3	460
tt0107290	Jurassic Park (Jurassic Park, #1)	Jurassic Park	book	4.1	8.2	68	21	824
tt3659388	The Martian	The Martian	book	4.42	8	80	17	1707
tt0327162	The Stepford Wives	The Stepford Wives	book	3.84	5.3	42	10	624
tt1620680	A Wrinkle in Time (Time Quintet, #1)	A Wrinkle in Time	book	3.98	4.3	53	24	1935
tt2267998	Gone Girl	Gone Girl	book	4.13	8.1	79	11	675
tt1935859	Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)	Miss Peregrine's Home for Peculiar Children	book	3.92	6.7	57	31	2203
tt0137523	Fight Club	Fight Club	book	4.19	8.8	67	9	628
tt0067992	Charlie and the Chocolate Factory (Charlie Bucket, #1)	Willy Wonka & the Chocolate Factory	book	4.16	7.8	67	1	102
tt0104940	A Christmas Carol	The Muppet Christmas Carol	book	4.08	7.8	64	12	390
tt0363771	The Lion, the Witch and the Wardrobe (The Chronicles of Narnia, #2)	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	book	4.24	6.9	75	56	2759
tt0327597	Coraline	Coraline	book	4.12	7.7	80	11	727
tt0083658	Do Androids Dream of Electric Sheep?	Blade Runner	book	4.09	8.1	84	11	388
tt0032138	The Wonderful Wizard of Oz (Oz, #1)	The Wizard of Oz	book	4	8.1	92	3	488
tt0814255	The Lightning Thief (Percy Jackson and the Olympians, #1)	Percy Jackson & the Olympians: The Lightning Thief	book	4.31	5.9	47	22	1578
tt0274812	Bad Behavior	Secretary	movie	3.87	6.9	63	9	283
tt0091149	Basil of Baker Street (The Great Mouse Detective Book 1)	The Great Mouse Detective	movie	3.92	7.1	73	6	340
tt0109830	Forrest Gump (Forrest Gump, #1)	Forrest Gump	movie	4.02	8.8	82	20	701
tt0055254	The 101 Dalmatians (The Hundred and One Dalmatians, #1)	One Hundred and One Dalmatians	movie	4.12	7.3	83	2	206
tt0373469	Bodies Are Where You Find Them (Mike Shayne #5)	Kiss Kiss Bang Bang	movie	3.74	7.5	73	9	355
tt0120791	Practical Magic (Practical Magic, #1)	Practical Magic	movie	3.73	6.3	47	3	387
tt3410834	Allegiant (Divergent, #3)	Allegiant	movie	3.6	5.7	33	23	1643
